,speed,accel,hand,
"('lemmy', '300sl roadster', 'Metal', 'Super Glider*')",1,0.25,-1,N
"('lemmy', '300sl roadster', 'Metal', 'Wario*')",1,0.25,-1,N
"('lemmy', 'steal driver', 'slim', 'Clouds*')",1.25,0.25,-1,N
"('lemmy', 'steal driver', 'slim', 'Peach Parasol*')",1.25,0.25,-1,N
"('baby peach', 'steal driver', 'standard', 'Super Glider*')",1.25,0.25,-1,N
"('baby peach', 'steal driver', 'standard', 'Wario*')",1.25,0.25,-1,N
"('baby peach', 'mach8', 'Slick', 'Clouds*')",1.25,0.25,-1,N
"('baby peach', 'mach8', 'Slick', 'Peach Parasol*')",1.25,0.25,-1,N
"('baby mario', 'koopa clown', 'Slick', 'Clouds*')",1.25,0.25,-1,N
"('baby mario', 'koopa clown', 'Slick', 'Peach Parasol*')",1.25,0.25,-1,N
"('baby peach', 'koopa clown', 'monster', 'Clouds*')",2,0.25,-1,N
"('baby peach', 'koopa clown', 'monster', 'Peach Parasol*')",2,0.25,-1,N
"('toad', 'sport bike', 'slim', 'Super Glider*')",0.25,0.5,-1,
"('toad', 'sport bike', 'slim', 'Wario*')",0.25,0.5,-1,
"('toad', 'sneeker', 'slim', 'Super Glider*')",0.25,0.5,-1,
"('toad', 'sneeker', 'slim', 'Wario*')",0.25,0.5,-1,
"('cat peach', 'koopa clown', 'slim', 'Super Glider*')",0.5,0.5,-1,N
"('cat peach', 'koopa clown', 'slim', 'Wario*')",0.5,0.5,-1,N
"('lemmy', 'circuit soecial', 'slim', 'Super Glider*')",0.75,0.5,-1,N
"('lemmy', 'circuit soecial', 'slim', 'Wario*')",0.75,0.5,-1,N
"('lemmy', 'sport bike', 'Slick', 'Super Glider*')",0.75,0.5,-1,N
"('lemmy', 'sport bike', 'Slick', 'Wario*')",0.75,0.5,-1,N
"('lemmy', 'sneeker', 'Slick', 'Super Glider*')",0.75,0.5,-1,N
"('lemmy', 'sneeker', 'Slick', 'Wario*')",0.75,0.5,-1,N
"('baby peach', 'splat buggy', 'Slick', 'Super Glider*')",0.75,0.5,-1,N
"('baby peach', 'splat buggy', 'Slick', 'Wario*')",0.75,0.5,-1,N
"('lemmy', 'sport bike', 'Metal', 'Clouds*')",1,0.5,-1,N
"('lemmy', 'sport bike', 'Metal', 'Peach Parasol*')",1,0.5,-1,N
"('lemmy', 'sneeker', 'Metal', 'Clouds*')",1,0.5,-1,N
"('lemmy', 'sneeker', 'Metal', 'Peach Parasol*')",1,0.5,-1,N
"('baby peach', 'splat buggy', 'Metal', 'Clouds*')",1,0.5,-1,N
"('baby peach', 'splat buggy', 'Metal', 'Peach Parasol*')",1,0.5,-1,N
"('lemmy', 'steal driver', 'slim', 'Super Glider*')",1,0.5,-1,N
"('lemmy', 'steal driver', 'slim', 'Wario*')",1,0.5,-1,N
"('baby peach', 'mach8', 'Slick', 'Super Glider*')",1,0.5,-1,N
"('baby peach', 'mach8', 'Slick', 'Wario*')",1,0.5,-1,N
"('koopa troopa', 'koopa clown', 'Slick', 'Clouds*')",1,0.5,-1,N
"('koopa troopa', 'koopa clown', 'Slick', 'Peach Parasol*')",1,0.5,-1,N
"('baby mario', 'koopa clown', 'Slick', 'Super Glider*')",1,0.5,-1,N
"('baby mario', 'koopa clown', 'Slick', 'Wario*')",1,0.5,-1,N
"('baby peach', 'mach8', 'Metal', 'Clouds*')",1.25,0.5,-1,N
"('baby peach', 'mach8', 'Metal', 'Peach Parasol*')",1.25,0.5,-1,N
"('baby mario', 'koopa clown', 'Metal', 'Clouds*')",1.25,0.5,-1,N
"('baby mario', 'koopa clown', 'Metal', 'Peach Parasol*')",1.25,0.5,-1,N
"('baby peach', 'koopa clown', 'monster', 'Super Glider*')",1.75,0.5,-1,N
"('baby peach', 'koopa clown', 'monster', 'Wario*')",1.75,0.5,-1,N
"('lemmy', 'sport bike', 'Metal', 'Super Glider*')",0.75,0.75,-1,
"('lemmy', 'sport bike', 'Metal', 'Wario*')",0.75,0.75,-1,
"('lemmy', 'sneeker', 'Metal', 'Super Glider*')",0.75,0.75,-1,
"('lemmy', 'sneeker', 'Metal', 'Wario*')",0.75,0.75,-1,
"('baby peach', 'splat buggy', 'Metal', 'Super Glider*')",0.75,0.75,-1,
"('baby peach', 'splat buggy', 'Metal', 'Wario*')",0.75,0.75,-1,
"('koopa troopa', 'koopa clown', 'Slick', 'Super Glider*')",0.75,0.75,-1,
"('koopa troopa', 'koopa clown', 'Slick', 'Wario*')",0.75,0.75,-1,
"('baby peach', 'GLA', 'slim', 'Clouds*')",1,0.75,-1,N
"('baby peach', 'GLA', 'slim', 'Peach Parasol*')",1,0.75,-1,N
"('baby peach', 'mach8', 'Metal', 'Super Glider*')",1,0.75,-1,N
"('baby peach', 'mach8', 'Metal', 'Wario*')",1,0.75,-1,N
"('koopa troopa', 'koopa clown', 'Metal', 'Clouds*')",1,0.75,-1,N
"('koopa troopa', 'koopa clown', 'Metal', 'Peach Parasol*')",1,0.75,-1,N
"('baby mario', 'koopa clown', 'Metal', 'Super Glider*')",1,0.75,-1,N
"('baby mario', 'koopa clown', 'Metal', 'Wario*')",1,0.75,-1,N
"('baby peach', 'GLA', 'slim', 'Super Glider*')",0.75,1,-1,
"('baby peach', 'GLA', 'slim', 'Wario*')",0.75,1,-1,
"('koopa troopa', 'koopa clown', 'Metal', 'Super Glider*')",0.75,1,-1,
"('koopa troopa', 'koopa clown', 'Metal', 'Wario*')",0.75,1,-1,
"('cat peach', 'landship', 'button', 'Clouds*')",1.5,-1.5,-0.75,
"('cat peach', 'landship', 'button', 'Peach Parasol*')",1.5,-1.5,-0.75,
"('peach', 'landship', 'roller', 'Clouds*')",1.5,-1.5,-0.75,
"('peach', 'landship', 'roller', 'Peach Parasol*')",1.5,-1.5,-0.75,
"('toonooki mar', 'landship', 'roller', 'Clouds*')",1.5,-1.5,-0.75,
"('toonooki mar', 'landship', 'roller', 'Peach Parasol*')",1.5,-1.5,-0.75,
"('peach', 'biddybuggy', 'button', 'Clouds*')",1.5,-1.5,-0.75,
"('peach', 'biddybuggy', 'button', 'Peach Parasol*')",1.5,-1.5,-0.75,
"('toonooki mar', 'biddybuggy', 'button', 'Clouds*')",1.5,-1.5,-0.75,
"('toonooki mar', 'biddybuggy', 'button', 'Peach Parasol*')",1.5,-1.5,-0.75,
"('mario', 'biddybuggy', 'roller', 'Clouds*')",1.5,-1.5,-0.75,
"('mario', 'biddybuggy', 'roller', 'Peach Parasol*')",1.5,-1.5,-0.75,
"('toadette', 'biddybuggy', 'off road', 'Clouds*')",1.75,-1.5,-0.75,N
"('toadette', 'biddybuggy', 'off road', 'Peach Parasol*')",1.75,-1.5,-0.75,N
"('cat peach', 'biddybuggy', 'sponge', 'Clouds*')",1.75,-1.5,-0.75,N
"('cat peach', 'biddybuggy', 'sponge', 'Peach Parasol*')",1.75,-1.5,-0.75,N
"('toadette', 'landship', 'sponge', 'Clouds*')",2,-1.5,-0.75,N
"('toadette', 'landship', 'sponge', 'Peach Parasol*')",2,-1.5,-0.75,N
"('cat peach', '300sl roadster', 'roller', 'Clouds*')",1.25,-1.25,-0.75,
"('cat peach', '300sl roadster', 'roller', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('cat peach', 'comet', 'button', 'Clouds*')",1.25,-1.25,-0.75,
"('cat peach', 'comet', 'button', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('peach', 'comet', 'roller', 'Clouds*')",1.25,-1.25,-0.75,
"('peach', 'comet', 'roller', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('toonooki mar', 'comet', 'roller', 'Clouds*')",1.25,-1.25,-0.75,
"('toonooki mar', 'comet', 'roller', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('cat peach', 'W25 silver arrow', 'button', 'Clouds*')",1.25,-1.25,-0.75,
"('cat peach', 'W25 silver arrow', 'button', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('peach', 'W25 silver arrow', 'roller', 'Clouds*')",1.25,-1.25,-0.75,
"('peach', 'W25 silver arrow', 'roller', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('toonooki mar', 'W25 silver arrow', 'roller', 'Clouds*')",1.25,-1.25,-0.75,
"('toonooki mar', 'W25 silver arrow', 'roller', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('cat peach', 'landship', 'standard', 'Clouds*')",1.25,-1.25,-0.75,
"('cat peach', 'landship', 'standard', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('cat peach', 'landship', 'button', 'Super Glider*')",1.25,-1.25,-0.75,
"('cat peach', 'landship', 'button', 'Wario*')",1.25,-1.25,-0.75,
"('luigi', 'landship', 'roller', 'Clouds*')",1.25,-1.25,-0.75,
"('luigi', 'landship', 'roller', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('peach', 'landship', 'roller', 'Super Glider*')",1.25,-1.25,-0.75,
"('peach', 'landship', 'roller', 'Wario*')",1.25,-1.25,-0.75,
"('toonooki mar', 'landship', 'roller', 'Super Glider*')",1.25,-1.25,-0.75,
"('toonooki mar', 'landship', 'roller', 'Wario*')",1.25,-1.25,-0.75,
"('peach', 'pipe frame', 'button', 'Clouds*')",1.25,-1.25,-0.75,
"('peach', 'pipe frame', 'button', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('toonooki mar', 'pipe frame', 'button', 'Clouds*')",1.25,-1.25,-0.75,
"('toonooki mar', 'pipe frame', 'button', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('mario', 'pipe frame', 'roller', 'Clouds*')",1.25,-1.25,-0.75,
"('mario', 'pipe frame', 'roller', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('peach', 'biddybuggy', 'standard', 'Clouds*')",1.25,-1.25,-0.75,
"('peach', 'biddybuggy', 'standard', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('toonooki mar', 'biddybuggy', 'standard', 'Clouds*')",1.25,-1.25,-0.75,
"('toonooki mar', 'biddybuggy', 'standard', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('luigi', 'biddybuggy', 'button', 'Clouds*')",1.25,-1.25,-0.75,
"('luigi', 'biddybuggy', 'button', 'Peach Parasol*')",1.25,-1.25,-0.75,
"('peach', 'biddybuggy', 'button', 'Super Glider*')",1.25,-1.25,-0.75,
"('peach', 'biddybuggy', 'button', 'Wario*')",1.25,-1.25,-0.75,
"('toonooki mar', 'biddybuggy', 'button', 'Super Glider*')",1.25,-1.25,-0.75,
"('toonooki mar', 'biddybuggy', 'button', 'Wario*')",1.25,-1.25,-0.75,
"('mario', 'biddybuggy', 'roller', 'Super Glider*')",1.25,-1.25,-0.75,
"('mario', 'biddybuggy', 'roller', 'Wario*')",1.25,-1.25,-0.75,
"('toadette', 'splat buggy', 'roller', 'Clouds*')",1.5,-1.25,-0.75,N
"('toadette', 'splat buggy', 'roller', 'Peach Parasol*')",1.5,-1.25,-0.75,N
"('toadette', '300sl roadster', 'button', 'Clouds*')",1.5,-1.25,-0.75,N
"('toadette', '300sl roadster', 'button', 'Peach Parasol*')",1.5,-1.25,-0.75,N
"('toadette', 'pipe frame', 'off road', 'Clouds*')",1.5,-1.25,-0.75,N
"('toadette', 'pipe frame', 'off road', 'Peach Parasol*')",1.5,-1.25,-0.75,N
"('cat peach', 'pipe frame', 'sponge', 'Clouds*')",1.5,-1.25,-0.75,N
"('cat peach', 'pipe frame', 'sponge', 'Peach Parasol*')",1.5,-1.25,-0.75,N
"('toad', 'biddybuggy', 'off road', 'Clouds*')",1.5,-1.25,-0.75,N
"('toad', 'biddybuggy', 'off road', 'Peach Parasol*')",1.5,-1.25,-0.75,N
"('toadette', 'biddybuggy', 'off road', 'Super Glider*')",1.5,-1.25,-0.75,N
"('toadette', 'biddybuggy', 'off road', 'Wario*')",1.5,-1.25,-0.75,N
"('cat peach', 'biddybuggy', 'sponge', 'Super Glider*')",1.5,-1.25,-0.75,N
"('cat peach', 'biddybuggy', 'sponge', 'Wario*')",1.5,-1.25,-0.75,N
"('toadette', 'mach8', 'roller', 'Clouds*')",1.75,-1.25,-0.75,N
"('toadette', 'mach8', 'roller', 'Peach Parasol*')",1.75,-1.25,-0.75,N
"('toadette', 'comet', 'sponge', 'Clouds*')",1.75,-1.25,-0.75,N
"('toadette', 'comet', 'sponge', 'Peach Parasol*')",1.75,-1.25,-0.75,N
"('toadette', 'W25 silver arrow', 'sponge', 'Clouds*')",1.75,-1.25,-0.75,N
"('toadette', 'W25 silver arrow', 'sponge', 'Peach Parasol*')",1.75,-1.25,-0.75,N
"('baby mario', 'landship', 'off road', 'Clouds*')",1.75,-1.25,-0.75,N
"('baby mario', 'landship', 'off road', 'Peach Parasol*')",1.75,-1.25,-0.75,N
"('toad', 'landship', 'sponge', 'Clouds*')",1.75,-1.25,-0.75,N
"('toad', 'landship', 'sponge', 'Peach Parasol*')",1.75,-1.25,-0.75,N
"('toadette', 'landship', 'sponge', 'Super Glider*')",1.75,-1.25,-0.75,N
"('toadette', 'landship', 'sponge', 'Wario*')",1.75,-1.25,-0.75,N
"('baby mario', 'biddybuggy', 'monster', 'Clouds*')",2.25,-1.25,-0.75,N
"('baby mario', 'biddybuggy', 'monster', 'Peach Parasol*')",2.25,-1.25,-0.75,N
"('cat peach', '300sl roadster', 'roller', 'Super Glider*')",1,-1,-0.75,
"('cat peach', '300sl roadster', 'roller', 'Wario*')",1,-1,-0.75,
"('cat peach', 'comet', 'standard', 'Clouds*')",1,-1,-0.75,
"('cat peach', 'comet', 'standard', 'Peach Parasol*')",1,-1,-0.75,
"('cat peach', 'comet', 'button', 'Super Glider*')",1,-1,-0.75,
"('cat peach', 'comet', 'button', 'Wario*')",1,-1,-0.75,
"('luigi', 'comet', 'roller', 'Clouds*')",1,-1,-0.75,
"('luigi', 'comet', 'roller', 'Peach Parasol*')",1,-1,-0.75,
"('peach', 'comet', 'roller', 'Super Glider*')",1,-1,-0.75,
"('peach', 'comet', 'roller', 'Wario*')",1,-1,-0.75,
"('toonooki mar', 'comet', 'roller', 'Super Glider*')",1,-1,-0.75,
"('toonooki mar', 'comet', 'roller', 'Wario*')",1,-1,-0.75,
"('cat peach', 'W25 silver arrow', 'standard', 'Clouds*')",1,-1,-0.75,
"('cat peach', 'W25 silver arrow', 'standard', 'Peach Parasol*')",1,-1,-0.75,
"('cat peach', 'W25 silver arrow', 'button', 'Super Glider*')",1,-1,-0.75,
"('cat peach', 'W25 silver arrow', 'button', 'Wario*')",1,-1,-0.75,
"('luigi', 'W25 silver arrow', 'roller', 'Clouds*')",1,-1,-0.75,
"('luigi', 'W25 silver arrow', 'roller', 'Peach Parasol*')",1,-1,-0.75,
"('peach', 'W25 silver arrow', 'roller', 'Super Glider*')",1,-1,-0.75,
"('peach', 'W25 silver arrow', 'roller', 'Wario*')",1,-1,-0.75,
"('toonooki mar', 'W25 silver arrow', 'roller', 'Super Glider*')",1,-1,-0.75,
"('toonooki mar', 'W25 silver arrow', 'roller', 'Wario*')",1,-1,-0.75,
"('cat peach', 'landship', 'standard', 'Super Glider*')",1,-1,-0.75,
"('cat peach', 'landship', 'standard', 'Wario*')",1,-1,-0.75,
"('luigi', 'landship', 'roller', 'Super Glider*')",1,-1,-0.75,
"('luigi', 'landship', 'roller', 'Wario*')",1,-1,-0.75,
"('peach', 'pipe frame', 'standard', 'Clouds*')",1,-1,-0.75,
"('peach', 'pipe frame', 'standard', 'Peach Parasol*')",1,-1,-0.75,
"('toonooki mar', 'pipe frame', 'standard', 'Clouds*')",1,-1,-0.75,
"('toonooki mar', 'pipe frame', 'standard', 'Peach Parasol*')",1,-1,-0.75,
"('luigi', 'pipe frame', 'button', 'Clouds*')",1,-1,-0.75,
"('luigi', 'pipe frame', 'button', 'Peach Parasol*')",1,-1,-0.75,
"('peach', 'pipe frame', 'button', 'Super Glider*')",1,-1,-0.75,
"('peach', 'pipe frame', 'button', 'Wario*')",1,-1,-0.75,
"('toonooki mar', 'pipe frame', 'button', 'Super Glider*')",1,-1,-0.75,
"('toonooki mar', 'pipe frame', 'button', 'Wario*')",1,-1,-0.75,
"('mario', 'pipe frame', 'roller', 'Super Glider*')",1,-1,-0.75,
"('mario', 'pipe frame', 'roller', 'Wario*')",1,-1,-0.75,
"('luigi', 'biddybuggy', 'standard', 'Clouds*')",1,-1,-0.75,
"('luigi', 'biddybuggy', 'standard', 'Peach Parasol*')",1,-1,-0.75,
"('peach', 'biddybuggy', 'standard', 'Super Glider*')",1,-1,-0.75,
"('peach', 'biddybuggy', 'standard', 'Wario*')",1,-1,-0.75,
"('toonooki mar', 'biddybuggy', 'standard', 'Super Glider*')",1,-1,-0.75,
"('toonooki mar', 'biddybuggy', 'standard', 'Wario*')",1,-1,-0.75,
"('luigi', 'biddybuggy', 'button', 'Super Glider*')",1,-1,-0.75,
"('luigi', 'biddybuggy', 'button', 'Wario*')",1,-1,-0.75,
"('toad', 'splat buggy', 'roller', 'Clouds*')",1.25,-1,-0.75,N
"('toad', 'splat buggy', 'roller', 'Peach Parasol*')",1.25,-1,-0.75,N
"('toadette', 'splat buggy', 'roller', 'Super Glider*')",1.25,-1,-0.75,N
"('toadette', 'splat buggy', 'roller', 'Wario*')",1.25,-1,-0.75,N
"('toadette', '300sl roadster', 'standard', 'Clouds*')",1.25,-1,-0.75,N
"('toadette', '300sl roadster', 'standard', 'Peach Parasol*')",1.25,-1,-0.75,N
"('toad', '300sl roadster', 'button', 'Clouds*')",1.25,-1,-0.75,N
"('toad', '300sl roadster', 'button', 'Peach Parasol*')",1.25,-1,-0.75,N
"('toadette', '300sl roadster', 'button', 'Super Glider*')",1.25,-1,-0.75,N
"('toadette', '300sl roadster', 'button', 'Wario*')",1.25,-1,-0.75,N
"('toad', 'pipe frame', 'off road', 'Clouds*')",1.25,-1,-0.75,N
"('toad', 'pipe frame', 'off road', 'Peach Parasol*')",1.25,-1,-0.75,N
"('toadette', 'pipe frame', 'off road', 'Super Glider*')",1.25,-1,-0.75,N
"('toadette', 'pipe frame', 'off road', 'Wario*')",1.25,-1,-0.75,N
"('cat peach', 'pipe frame', 'sponge', 'Super Glider*')",1.25,-1,-0.75,N
"('cat peach', 'pipe frame', 'sponge', 'Wario*')",1.25,-1,-0.75,N
"('toad', 'biddybuggy', 'off road', 'Super Glider*')",1.25,-1,-0.75,N
"('toad', 'biddybuggy', 'off road', 'Wario*')",1.25,-1,-0.75,N
"('baby mario', 'splat buggy', 'button', 'Clouds*')",1.5,-1,-0.75,N
"('baby mario', 'splat buggy', 'button', 'Peach Parasol*')",1.5,-1,-0.75,N
"('toad', 'mach8', 'roller', 'Clouds*')",1.5,-1,-0.75,N
"('toad', 'mach8', 'roller', 'Peach Parasol*')",1.5,-1,-0.75,N
"('toadette', 'mach8', 'roller', 'Super Glider*')",1.5,-1,-0.75,N
"('toadette', 'mach8', 'roller', 'Wario*')",1.5,-1,-0.75,N
"('baby mario', 'comet', 'off road', 'Clouds*')",1.5,-1,-0.75,N
"('baby mario', 'comet', 'off road', 'Peach Parasol*')",1.5,-1,-0.75,N
"('toad', 'comet', 'sponge', 'Clouds*')",1.5,-1,-0.75,N
"('toad', 'comet', 'sponge', 'Peach Parasol*')",1.5,-1,-0.75,N
"('toadette', 'comet', 'sponge', 'Super Glider*')",1.5,-1,-0.75,N
"('toadette', 'comet', 'sponge', 'Wario*')",1.5,-1,-0.75,N
"('baby mario', 'W25 silver arrow', 'off road', 'Clouds*')",1.5,-1,-0.75,N
"('baby mario', 'W25 silver arrow', 'off road', 'Peach Parasol*')",1.5,-1,-0.75,N
"('toad', 'W25 silver arrow', 'sponge', 'Clouds*')",1.5,-1,-0.75,N
"('toad', 'W25 silver arrow', 'sponge', 'Peach Parasol*')",1.5,-1,-0.75,N
"('toadette', 'W25 silver arrow', 'sponge', 'Super Glider*')",1.5,-1,-0.75,N
"('toadette', 'W25 silver arrow', 'sponge', 'Wario*')",1.5,-1,-0.75,N
"('koopa troopa', 'landship', 'off road', 'Clouds*')",1.5,-1,-0.75,N
"('koopa troopa', 'landship', 'off road', 'Peach Parasol*')",1.5,-1,-0.75,N
"('baby mario', 'landship', 'off road', 'Super Glider*')",1.5,-1,-0.75,N
"('baby mario', 'landship', 'off road', 'Wario*')",1.5,-1,-0.75,N
"('toad', 'landship', 'sponge', 'Super Glider*')",1.5,-1,-0.75,N
"('toad', 'landship', 'sponge', 'Wario*')",1.5,-1,-0.75,N
"('baby mario', 'mach8', 'button', 'Clouds*')",1.75,-1,-0.75,N
"('baby mario', 'mach8', 'button', 'Peach Parasol*')",1.75,-1,-0.75,N
"('baby mario', '300sl roadster', 'sponge', 'Clouds*')",1.75,-1,-0.75,N
"('baby mario', '300sl roadster', 'sponge', 'Peach Parasol*')",1.75,-1,-0.75,N
"('baby mario', 'pipe frame', 'monster', 'Clouds*')",2,-1,-0.75,N
"('baby mario', 'pipe frame', 'monster', 'Peach Parasol*')",2,-1,-0.75,N
"('koopa troopa', 'biddybuggy', 'monster', 'Clouds*')",2,-1,-0.75,N
"('koopa troopa', 'biddybuggy', 'monster', 'Peach Parasol*')",2,-1,-0.75,N
"('baby mario', 'biddybuggy', 'monster', 'Super Glider*')",2,-1,-0.75,N
"('baby mario', 'biddybuggy', 'monster', 'Wario*')",2,-1,-0.75,N
"('lemmy', 'landship', 'monster', 'Clouds*')",2.25,-1,-0.75,N
"('lemmy', 'landship', 'monster', 'Peach Parasol*')",2.25,-1,-0.75,N
"('cat peach', 'comet', 'standard', 'Super Glider*')",0.75,-0.75,-0.75,
"('cat peach', 'comet', 'standard', 'Wario*')",0.75,-0.75,-0.75,
"('luigi', 'comet', 'roller', 'Super Glider*')",0.75,-0.75,-0.75,
"('luigi', 'comet', 'roller', 'Wario*')",0.75,-0.75,-0.75,
"('cat peach', 'W25 silver arrow', 'standard', 'Super Glider*')",0.75,-0.75,-0.75,
"('cat peach', 'W25 silver arrow', 'standard', 'Wario*')",0.75,-0.75,-0.75,
"('luigi', 'W25 silver arrow', 'roller', 'Super Glider*')",0.75,-0.75,-0.75,
"('luigi', 'W25 silver arrow', 'roller', 'Wario*')",0.75,-0.75,-0.75,
"('luigi', 'pipe frame', 'standard', 'Clouds*')",0.75,-0.75,-0.75,
"('luigi', 'pipe frame', 'standard', 'Peach Parasol*')",0.75,-0.75,-0.75,
"('peach', 'pipe frame', 'standard', 'Super Glider*')",0.75,-0.75,-0.75,
"('peach', 'pipe frame', 'standard', 'Wario*')",0.75,-0.75,-0.75,
"('toonooki mar', 'pipe frame', 'standard', 'Super Glider*')",0.75,-0.75,-0.75,
"('toonooki mar', 'pipe frame', 'standard', 'Wario*')",0.75,-0.75,-0.75,
"('luigi', 'pipe frame', 'button', 'Super Glider*')",0.75,-0.75,-0.75,
"('luigi', 'pipe frame', 'button', 'Wario*')",0.75,-0.75,-0.75,
"('luigi', 'biddybuggy', 'standard', 'Super Glider*')",0.75,-0.75,-0.75,
"('luigi', 'biddybuggy', 'standard', 'Wario*')",0.75,-0.75,-0.75,
"('cat peach', 'sport bike', 'roller', 'Clouds*')",1,-0.75,-0.75,N
"('cat peach', 'sport bike', 'roller', 'Peach Parasol*')",1,-0.75,-0.75,N
"('cat peach', 'sneeker', 'roller', 'Clouds*')",1,-0.75,-0.75,N
"('cat peach', 'sneeker', 'roller', 'Peach Parasol*')",1,-0.75,-0.75,N
"('toad', 'splat buggy', 'roller', 'Super Glider*')",1,-0.75,-0.75,N
"('toad', 'splat buggy', 'roller', 'Wario*')",1,-0.75,-0.75,N
"('toad', '300sl roadster', 'standard', 'Clouds*')",1,-0.75,-0.75,N
"('toad', '300sl roadster', 'standard', 'Peach Parasol*')",1,-0.75,-0.75,N
"('toadette', '300sl roadster', 'standard', 'Super Glider*')",1,-0.75,-0.75,N
"('toadette', '300sl roadster', 'standard', 'Wario*')",1,-0.75,-0.75,N
"('toad', '300sl roadster', 'button', 'Super Glider*')",1,-0.75,-0.75,N
"('toad', '300sl roadster', 'button', 'Wario*')",1,-0.75,-0.75,N
"('toad', 'pipe frame', 'off road', 'Super Glider*')",1,-0.75,-0.75,N
"('toad', 'pipe frame', 'off road', 'Wario*')",1,-0.75,-0.75,N
"('cat peach', 'biddybuggy', 'Slick', 'Clouds*')",1,-0.75,-0.75,N
"('cat peach', 'biddybuggy', 'Slick', 'Peach Parasol*')",1,-0.75,-0.75,N
"('toadette', 'sport bike', 'button', 'Clouds*')",1.25,-0.75,-0.75,N
"('toadette', 'sport bike', 'button', 'Peach Parasol*')",1.25,-0.75,-0.75,N
"('toadette', 'sneeker', 'button', 'Clouds*')",1.25,-0.75,-0.75,N
"('toadette', 'sneeker', 'button', 'Peach Parasol*')",1.25,-0.75,-0.75,N
"('baby mario', 'splat buggy', 'standard', 'Clouds*')",1.25,-0.75,-0.75,N
"('baby mario', 'splat buggy', 'standard', 'Peach Parasol*')",1.25,-0.75,-0.75,N
"('koopa troopa', 'splat buggy', 'button', 'Clouds*')",1.25,-0.75,-0.75,N
"('koopa troopa', 'splat buggy', 'button', 'Peach Parasol*')",1.25,-0.75,-0.75,N
"('baby mario', 'splat buggy', 'button', 'Super Glider*')",1.25,-0.75,-0.75,N
"('baby mario', 'splat buggy', 'button', 'Wario*')",1.25,-0.75,-0.75,N
"('toad', 'mach8', 'roller', 'Super Glider*')",1.25,-0.75,-0.75,N
"('toad', 'mach8', 'roller', 'Wario*')",1.25,-0.75,-0.75,N
"('koopa troopa', 'comet', 'off road', 'Clouds*')",1.25,-0.75,-0.75,N
"('koopa troopa', 'comet', 'off road', 'Peach Parasol*')",1.25,-0.75,-0.75,N
"('baby mario', 'comet', 'off road', 'Super Glider*')",1.25,-0.75,-0.75,N
"('baby mario', 'comet', 'off road', 'Wario*')",1.25,-0.75,-0.75,N
"('toad', 'comet', 'sponge', 'Super Glider*')",1.25,-0.75,-0.75,N
"('toad', 'comet', 'sponge', 'Wario*')",1.25,-0.75,-0.75,N
"('koopa troopa', 'W25 silver arrow', 'off road', 'Clouds*')",1.25,-0.75,-0.75,N
"('koopa troopa', 'W25 silver arrow', 'off road', 'Peach Parasol*')",1.25,-0.75,-0.75,N
"('baby mario', 'W25 silver arrow', 'off road', 'Super Glider*')",1.25,-0.75,-0.75,N
"('baby mario', 'W25 silver arrow', 'off road', 'Wario*')",1.25,-0.75,-0.75,N
"('toad', 'W25 silver arrow', 'sponge', 'Super Glider*')",1.25,-0.75,-0.75,N
"('toad', 'W25 silver arrow', 'sponge', 'Wario*')",1.25,-0.75,-0.75,N
"('toadette', 'landship', 'Slick', 'Clouds*')",1.25,-0.75,-0.75,N
"('toadette', 'landship', 'Slick', 'Peach Parasol*')",1.25,-0.75,-0.75,N
"('koopa troopa', 'landship', 'off road', 'Super Glider*')",1.25,-0.75,-0.75,N
"('koopa troopa', 'landship', 'off road', 'Wario*')",1.25,-0.75,-0.75,N
"('baby mario', 'circuit soecial', 'roller', 'Clouds*')",1.5,-0.75,-0.75,N
"('baby mario', 'circuit soecial', 'roller', 'Peach Parasol*')",1.5,-0.75,-0.75,N
"('baby mario', 'mach8', 'standard', 'Clouds*')",1.5,-0.75,-0.75,N
"('baby mario', 'mach8', 'standard', 'Peach Parasol*')",1.5,-0.75,-0.75,N
"('koopa troopa', 'mach8', 'button', 'Clouds*')",1.5,-0.75,-0.75,N
"('koopa troopa', 'mach8', 'button', 'Peach Parasol*')",1.5,-0.75,-0.75,N
"('baby mario', 'mach8', 'button', 'Super Glider*')",1.5,-0.75,-0.75,N
"('baby mario', 'mach8', 'button', 'Wario*')",1.5,-0.75,-0.75,N
"('lemmy', '300sl roadster', 'off road', 'Clouds*')",1.5,-0.75,-0.75,N
"('lemmy', '300sl roadster', 'off road', 'Peach Parasol*')",1.5,-0.75,-0.75,N
